Profile,Patients_per_day,Pathway,Mean_stays_days,CV_values
ED_GenMed,34.00,"ED, GenMed","0.0598,6","0.44,0.24"
ED_ICU,2.83,"ED, ICU","0.0598,6","0.44,1"
ED_Cardiology,2.04,"ED, Cardiology","0.0598,5","0.44,0.24"
ED_PhysicalMed,1.70,"ED, PhysicalMed","0.0598,6","0.44,0.24"
ED_TransitionalCare,2.83,"ED, TransitionalCare","0.0598,6","0.44,0.24"
